File name,Nodes count,Max width,Avg width
gen0_1117.tdag,1113,200,132.2975
gen100_307.tdag,307,61,39.4969
gen10_1770.tdag,1767,325,218.3221
gen1_1518.tdag,1510,282,190.0746
gen11_913.tdag,910,162,109.3062
gen12_1381.tdag,1376,251,166.7757
gen13_952.tdag,949,184,119.3194
gen14_1669.tdag,1665,306,202.1089
gen15_1164.tdag,1160,213,141.5407
gen16_490.tdag,489,85,56.0398
gen17_350.tdag,346,66,44.2791
gen18_374.tdag,372,70,45.3424
gen19_1196.tdag,1194,221,146.7067
gen20_132.tdag,129,23,15.1029
gen21_1371.tdag,1366,261,168.7902
gen2_1198.tdag,1191,229,151.9916
gen22_965.tdag,962,187,120.668
gen23_1328.tdag,1321,244,164.5672
gen24_1232.tdag,1229,226,150.1287
gen25_726.tdag,720,125,84.0
gen26_612.tdag,609,113,73.0197
gen27_756.tdag,751,130,87.3568
gen28_1409.tdag,1408,247,170.9217
gen29_1037.tdag,1034,191,126.0623
gen30_1555.tdag,1550,266,176.441
gen31_1733.tdag,1728,320,208.5626
gen32_689.tdag,686,137,85.9391
gen33_1531.tdag,1527,284,187.7871
gen3_409.tdag,406,83,52.7451
gen34_590.tdag,585,116,72.6355
gen35_996.tdag,995,177,120.124
gen36_748.tdag,745,131,87.8048
gen37_683.tdag,680,126,81.7092
gen38_532.tdag,526,91,62.1472
gen39_301.tdag,299,56,36.9545
gen40_471.tdag,468,89,57.5485
gen41_708.tdag,705,134,86.693
gen4_179.tdag,175,31,20.9326
gen42_410.tdag,405,70,46.7268
gen43_528.tdag,524,101,65.0646
gen44_1666.tdag,1662,313,203.9927
gen45_1607.tdag,1606,304,201.6845
gen46_1774.tdag,1771,322,213.6965
gen47_748.tdag,742,136,90.4497
gen48_243.tdag,238,44,27.0244
gen49_517.tdag,515,107,66.6977
gen50_386.tdag,383,70,45.2526
gen51_541.tdag,537,104,65.8235
gen52_907.tdag,903,174,115.3207
gen53_1431.tdag,1425,263,177.2482
gen54_1714.tdag,1713,313,208.6803
gen55_588.tdag,585,98,67.3378
gen56_1048.tdag,1045,192,130.8721
gen5_677.tdag,673,133,85.0058
gen57_1999.tdag,1993,366,247.4267
gen58_518.tdag,514,93,58.6094
gen59_1608.tdag,1601,291,192.8643
gen60_861.tdag,858,173,109.7281
gen6_1450.tdag,1445,281,179.9944
gen61_945.tdag,941,176,113.0366
gen62_806.tdag,799,153,98.61
gen63_779.tdag,777,158,102.2467
gen64_1439.tdag,1437,267,182.6435
gen65_500.tdag,492,94,60.749
gen66_980.tdag,978,191,121.4488
gen67_662.tdag,658,108,73.3433
gen68_1145.tdag,1141,205,135.169
gen69_718.tdag,716,128,85.3729
gen70_883.tdag,882,160,107.3021
gen71_1556.tdag,1548,291,190.0696
gen72_1496.tdag,1491,274,180.1626
gen73_865.tdag,862,147,101.286
gen74_1114.tdag,1111,208,138.5337
gen75_1406.tdag,1402,255,170.9043
gen76_845.tdag,843,144,98.9859
gen77_1983.tdag,1978,351,237.7293
gen78_308.tdag,301,60,37.3631
gen79_259.tdag,255,52,33.2331
gen7_979.tdag,977,176,117.166
gen80_1730.tdag,1726,313,213.5152
gen81_1297.tdag,1293,229,152.9877
gen82_520.tdag,518,99,63.1962
gen83_1260.tdag,1260,247,159.2717
gen84_790.tdag,786,142,92.9337
gen85_271.tdag,271,53,34.2609
gen86_551.tdag,547,105,67.7033
gen8_706.tdag,703,133,87.8764
gen87_1848.tdag,1839,338,220.461
gen88_750.tdag,746,138,90.6053
gen89_1169.tdag,1166,209,143.8242
gen90_1285.tdag,1280,228,154.0046
gen91_1613.tdag,1607,289,191.9378
gen92_1453.tdag,1449,278,184.3126
gen93_1098.tdag,1092,207,134.5036
gen94_487.tdag,484,79,51.6778
gen95_1518.tdag,1514,289,186.6923
gen96_553.tdag,548,93,64.8208
gen97_1520.tdag,1515,286,187.5953
gen9_789.tdag,788,138,91.9487
gen98_1239.tdag,1236,231,157.1417
gen99_1542.tdag,1536,285,190.4845
