File name,Nodes count,AVG Git,AVG Golden,AVG Golden used,AVG nodes differences between golden/git,nodes differences between golden/git
git.apisix.tdag,30773,11.0975,11.0975,372.5200,0.0100,1
git.cassandra.tdag,51376,14.7036,14.7036,4878.9800,15.5300,1553
git.celeborn.tdag,13454,9.8293,9.8293,167.3100,0.0000,0
git.couchdb.tdag,25670,13.4758,13.4758,2366.3200,0.0400,4
git.dolphinscheduler.tdag,46925,12.5140,12.5141,979.5800,1.4200,142
git.druid.tdag,70919,13.4193,13.4193,2019.4000,1.3400,134
git.eclipse.platform.swt.tdag,35813,14.5384,14.5384,2385.2900,0.0500,5
git.eclipse.platform.tdag,49585,14.9697,14.9697,7786.4200,0.0000,0
git.eclipse.platform.ui.tdag,93275,14.8504,14.8504,6636.0800,0.0600,6
git.eventmesh.tdag,18378,11.5623,11.5623,511.3900,0.3200,32
git.gimp.tdag,69868,15.5797,15.5797,12037.3800,0.0100,1
git.hbase.tdag,76800,14.0825,14.0825,2353.2500,0.0000,0
git.hive.tdag,60519,13.8233,13.8233,1198.5200,0.1400,14
git.incubator-devlake.tdag,19474,11.9937,11.9937,713.2200,0.0000,0
git.incubator-pagespeed-mod.tdag,14468,11.4323,11.4323,562.8500,0.0000,0
git.incubator-pegasus.tdag,14402,10.6482,10.6482,693.1700,0.7200,72
git.incubator-seata.tdag,27256,10.2966,10.2966,209.0400,0.0000,0
git.incubator-superset.tdag,12438,12.1956,12.1956,1179.7000,0.0000,0
git.inkscape.tdag,15400,9.5492,9.5492,472.0000,0.0000,0
git.kvrocks.tdag,12608,9.9277,9.9277,208.8900,0.0000,0
git.laravel.tdag,16290,12.2861,12.2861,1079.6100,0.2600,26
git.linkis.tdag,12070,11.4008,11.4008,488.9000,0.1900,19
git.lucene.tdag,85671,15.0409,15.0409,4090.7000,0.3100,31
git.mesos.tdag,23302,13.5473,13.5473,2008.9800,0.0000,0
git.moby.tdag,83955,13.7564,13.7564,3531.9200,0.4500,45
git.nifi.tdag,39818,12.6779,12.6779,996.6300,0.6200,62
git.Nim.tdag,64983,14.0660,14.0660,2981.3600,2.3200,232
git.opencv.tdag,84311,14.0135,14.0135,2902.4600,0.3600,36
git.opendal.tdag,16324,10.4497,10.4497,373.6000,0.0000,0
git.openwhisk.tdag,12971,10.7348,10.7348,387.1700,0.0000,0
git.openwrt-packages.tdag,75793,14.5998,14.5998,3688.1100,0.2500,25
git.paimon.tdag,17916,10.6478,10.6478,273.7800,0.0000,0
git.postgres.tdag,98547,15.5684,15.5684,8676.3000,0.0000,0
git.PowerShell.tdag,49829,12.9038,12.9039,1356.9800,0.1000,10
git.PowerToys.tdag,39274,12.1087,12.1087,911.2800,0.2600,26
git.pulsar.tdag,84251,12.4646,12.4646,1414.4000,0.0000,0
git.react.tdag,70404,13.4876,13.4877,1954.5500,0.1800,18
git.rocketmq.tdag,23168,11.8638,11.8638,803.6400,0.6900,69
git.seatunnel.tdag,30112,11.5742,11.5742,488.3500,0.2100,21
git.shenyu.tdag,22762,10.9140,10.9140,393.0500,0.1300,13
git.skywalking.tdag,34316,12.5986,12.5986,1115.9400,1.3900,139
git.spring-boot.tdag,71890,14.2030,14.2030,4893.8800,4.6200,462
git.spring-framework.tdag,53176,14.2271,14.2271,3511.1800,0.3700,37
git.storm.tdag,19173,12.8246,12.8246,1606.0100,1.0000,100
git.streampark.tdag,16332,10.2971,10.2971,243.0600,0.1400,14
git.terminal.tdag,31602,10.9337,10.9338,383.6700,0.1100,11
git.terraform.tdag,90035,14.4244,14.4245,3770.3200,0.4500,45
git.tvm.tdag,76614,12.3432,12.3432,1166.2600,0.0000,0
git.TypeScript.tdag,83153,14.7921,14.7922,4404.6000,3.2600,326
git.vuejs-core.tdag,21524,11.7481,11.7481,723.2600,0.0100,1
git.vuejs-vue.tdag,12839,11.2467,11.2467,532.7500,0.0000,0
git.zookeeper.tdag,13567,10.8374,10.8374,295.4800,0.0000,0
